"precipitation","date"
0.0125371090201444,2015-01-01
0.00901382357575173,2015-02-01
0.00447901348735011,2015-03-01
0.00376160200252089,2015-04-01
0.000520972318427507,2015-05-01
0.000231640837913336,2015-06-01
0.000215840894122456,2015-07-01
9.26971435546875e-05,2015-08-01
0.000124740600585938,2015-09-01
0.000667137323423874,2015-10-01
0.0032229135202807,2015-11-01
0.00722992475642714,2015-12-01
0.0107057881909747,2016-01-01
0.00711639759152435,2016-02-01
0.00769973577455033,2016-03-01
0.00430439793786337,2016-04-01
0.000678288659384084,2016-05-01
0.000395397807276526,2016-06-01
0.000425587144008903,2016-07-01
0.000233166716819586,2016-08-01
6.33328459983648e-05,2016-09-01
0.000249623143395712,2016-10-01
0.0019611447356468,2016-11-01
0.00665531602016715,2016-12-01
0.0095575820567996,2017-01-01
0.00946957787802053,2017-02-01
0.00919097190679506,2017-03-01
0.00383157951887264,2017-04-01
0.00105081602584484,2017-05-01
0.000399531874545785,2017-06-01
0.000225155852561773,2017-07-01
0.000390500800554142,2017-08-01
0.000134490257085756,2017-09-01
0.000858377855877544,2017-10-01
0.00489396383596021,2017-11-01
0.0102596105531205,2017-12-01
0.00780340239059093,2018-01-01
0.00854523680930914,2018-02-01
0.00799234966899073,2018-03-01
0.00576419386752816,2018-04-01
0.00111191328181777,2018-05-01
0.000219779790833939,2018-06-01
0.000860365047011265,2018-07-01
8.70105832122093e-05,2018-08-01
0.000212691551031068,2018-09-01
0.000889920079430868,2018-10-01
0.00360095889069313,2018-11-01
0.0111750935399255,2018-12-01
0.0112477369086687,2019-01-01
0.00860369482705759,2019-02-01
0.0100474157998728,2019-03-01
0.00355328404626181,2019-04-01
0.00117517515670422,2019-05-01
0.000566198659497638,2019-06-01
0.000197645675304324,2019-07-01
0.000173994552257449,2019-08-01
0.000325659818427507,2019-09-01
0.00115123127782068,2019-10-01
0.00514814687329669,2019-11-01
0.0111787574235783,2019-12-01
0.0141146371530932,2020-01-01
0.0102148810098338,2020-02-01
0.00646824947623319,2020-03-01
0.00162725226823674,2020-04-01
0.000389427362486374,2020-05-01
0.000457887871320858,2020-06-01
0.000505385287972384,2020-07-01
0.000205266198446584,2020-08-01
0.000122859866120094,2020-09-01
0.000915420887082122,2020-10-01
0.00126688757608103,2020-11-01
0.00878664061080578,2020-12-01
0.0120293373285338,2021-01-01
0.0100505828857422,2021-02-01
0.0104442064152207,2021-03-01
0.0033248457797738,2021-04-01
0.000758095674736555,2021-05-01
0.000543425803960756,2021-06-01
0.000524751530137173,2021-07-01
0.000176416441451672,2021-08-01
0.000235020837118459,2021-09-01
0.000495360618413881,2021-10-01
0.00158474057219749,2021-11-01
0.00226168965184411,2021-12-01
0.0131699850392896,2022-01-01
0.0133349928745004,2022-02-01
0.00756212722423465,2022-03-01
0.00448126682015352,2022-04-01
0.000372021697288336,2022-05-01
0.00102520432583121,2022-06-01
0.000371036973110465,2022-07-01
0.000300438459529433,2022-08-01
0.000118282229401344,2022-09-01
5.9713319290516e-05,2022-10-01
0.00192225256631541,2022-11-01
0.0121647590814635,2022-12-01
0.0115108756131904,2023-01-01
0.0101457374040471,2023-02-01
0.0138833822206009,2023-03-01
0.00526425561239553,2023-04-01
0.000306639560433321,2023-05-01
0.000202835437863372,2023-06-01
0.000345576086709666,2023-07-01
0.000444341260333394,2023-08-01
0.000129158552302871,2023-09-01
0.000839464054551235,2023-10-01
0.00317347326944041,2023-11-01
0.00710445670194404,2023-12-01
0.0128988487775936,2024-01-01
0.010586139767669,2024-02-01
0.0077675930289335,2024-03-01
0.00343528570130814,2024-04-01
0.000756445596384448,2024-05-01
0.000492583873660065,2024-06-01
3.4740359284157e-05,2024-07-01
0.000340368581372638,2024-08-01
0.000314366540243459,2024-09-01
0.00129590588946675,2024-10-01
0.00312963086505269,2024-11-01
0.00352538352788881,2024-12-01
